City,Code1,Code2
Assais-les-Jumeaux,FR,AJ5
Assas,FR,ZSS
Assé-le-Bérenger,FR,ASX
Assé-le-Boisne,FR,A7S
Assé-le-Riboul,FR,SR9
Assenoncourt,FR,A7A
Assevent,FR,9SV
Assevillers,FR,AIE
Assier,FR,SIE
Assignan,FR,GNG
Astaffort,FR,AST
Athée,FR,HAT
Athies,FR,A8T
Athies-sous-Laon,FR,AHL
Athis,FR,AT3
Athis-de-l'Orne,FR,ADQ
Athis-Mons,FR,ATM
Attiches,FR,TIH
Attichy,FR,AAT
Attignat,FR,ATT
Attigny,FR,AQJ
Atton,FR,ATN
Aubagne,FR,ABG
Aubais,FR,A84
Aubas,FR,A6U
Aubazines,FR,ABZ
Aubenas,FR,OBS
Auberchicourt,FR,AHU
Aubergenville,FR,AUG
Auberives-en-Royans,FR,A9V
Auberives-sur-Varèze,FR,IQU
Aubers,FR,AN5
Aubertans,FR,Q2W
Aubertin,FR,A7T
Aubervilliers,FR,AVS
Aube-Sur-Rile,FR,ON6
Aubeterre-sur-Dronne,FR,UDO
Aubevoye,FR,AVY
Aubie-et-Espessas,FR,AUP
Aubière,FR,AUI
Aubiet,FR,ABI
Aubignan,FR,AN3
Aubigné,FR,AIV
Aubigné,FR,AML
Aubigné,FR,ADS
Aubigné-Racan,FR,ABR
Aubigny,FR,AGA
Aubigny,FR,UBG
Aubigny,FR,V85
Aubigny-au-Bac,FR,A6A
Aubigny-aux-Kaisnes,FR,AXK
Aubigny-en-Plaine,FR,YP2
Aubigny-sur-Nère,FR,AYU
Aubin,FR,UBI
Aubinges,FR,QXI
Aubin-Saint-Vaast,FR,AVT
Aubord,FR,AB3
Auboué,FR,UBE
Aubréville,FR,ABV
Aubrives,FR,AA8
Aubry-du-Hainaut,FR,AHI
Aubussargues,FR,S84
Aubusson,FR,ABS
Auby,FR,AUS
Aucaleuc,FR,AU6
Aucamville,FR,UCV
Aucamville,FR,AMV
Auch,FR,AUC
Auchel,FR,ACL
Auchonvillers,FR,VUH
Auchy-les-Mines,FR,AL6
Auchy-lez-Orchies,FR,AO2
Audenge,FR,AD6
Auderville,FR,DVU
Audierne,FR,AUD
Audincourt,FR,ACT
Audruicq,FR,AIQ
Audun-le-Roman,FR,ADO
Audun-le-Tiche,FR,TLC
Auffains,FR,AFN
Auffargis,FR,G5F
Auffay,FR,AFA
Augan,FR,AUJ
Augé,FR,DE7
Augerolles,FR,XAG
Auger-Saint-Vincent,FR,UVC
Augers-en-Brie,FR,U5B
Auge-Saint-Médard,FR,YIK
Augignac,FR,UGC
Augnat,FR,AU5
Augny,FR,ZAS
Augy,FR,GYU
Aujargues,FR,AJG
Aulnat,FR,XAU
Aulnay-sous-Bois,FR,ASB
Aulnay-sur-Mauldre,FR,A8M
Aulnois-sous-Laon,FR,UOL
Aulnoy,FR,AYV
Aulnoye-Aymeries,FR,AUL
